"Where were you born? (City, State/Province, Country)",In which quadrant of Portland do you live now?,What is the most common mode of transportation you use to get to a Hack Oregon related activity?,Birth Date,How long have you lived in Oregon?,"How many seasons have you been involved with Hack Oregon, including this one? ",What motivated you most to volunteer with Hack Oregon?,What do/did you hope to gain by volunteering with Hack Oregon?,"How often do you typically volunteer, excluding Hack Oregon? ",What's your favorite genre of music?,Go to http://www.colorpicker.com/ and choose your favorite color. Enter the Color Code above the color picker (Ex. 57A324),What is your main vice? Pick your Poison.,Your Dietary Preference?,How do you like to spend most of your time away from work?,What Gender do you identify most with?,What ethnicity do you identify most with?,"In which Hack Oregon activities have you participated in, including this season?",What's your day job?,"What category of skill do you use most for your main volunteer role with Hack Oregon? (Ex. Dev Ops, Journalism, Design)","If you had a dream job, what would it be?"
Indianapolis IN USA,N,Public Transportation,4/25/1981,11-15 years,1,"The Purpose, The Process","A creative outlet, Meet friends & collaborators",Never,Rock n Roll,FF0055,Weed,Omnivore,Backpacking,Male,Caucasian/French,"Hack University, Mentor/Advisor",CEO and Designer,"Visual Design, User Experience Design, Storytelling",Nomadic Artist
"Los Angeles, CA","San Francisco, lived in SW",Foot,3/6/1970,> 1 year,1,The Project(s),Skill-building/Career Growth,Couple times a year,Alternative,022FF7,Caffeine,Omnivore,I go to the movies.,Male,Jewish,"Behind the Curtain, FortyForty100",Sales Development Rep,Frontend Development,Travel writer
"Portland, Or","Oakland, CA",Bike,1/30/1980,30+ years,3,"The Project(s), The Purpose, The Process, The People","A creative outlet, Skill-building/Career Growth, Do something meaningful with my skills",Couple times a year,Ultra Lounge,D91D00,"flying robots, scotch",new kinds of food,"Working', exploring, tinkering ",Male,honky white,"Behind the Curtain, whatever this one is called","Scientist 1, DNA sequencing division of Roche","Backend Development, Data Science, Data Visualization",Data vis / machine learning / traveling scientist
"Albuquerque, NM, United States",NW,Car,5/31/1985,6-10 years,1,"The Purpose, The Process","A creative outlet, Skill-building/Career Growth, Meet friends & collaborators",Couple times a year,Electro Swing,47017D,Sugar in many forms.,Omnivore,Working on personal projects or playing video games.,Female,Caucasian,Behind the Curtain,JavaScript Developer,Frontend Development,An EXCELLENT JavaScript Developer. ;)
"Vancouver, BC, Canada",NE,Car,6/24/1988,6-10 years,5,"The Project(s), The Purpose, The Process, The People","To be a more informed Citizen, A creative outlet, Skill-building/Career Growth, Meet friends & collaborators",All the time,90's Jams,732056,Trash Televison,Carnivore,Drinking wine and talking about work,Female,Caucasian,"Behind the Curtain, CropCompass, PlotPDX, FortyForty100, Raise Effect, Oregon Hunger Equation, AfterShock, Hack University, Mentor/Advisor",Executive Leadership,"Data Visualization, User Experience Design, Strategy, Facilitation, Storytelling, Advisor",Working at Hack Oregon
"Redwood City, CA, USA",SE,Car,3/4/1989,> 1 year,1,The Purpose,Skill-building/Career Growth,Couple times a year,Hip Hop,E7A365,Ice cream,Omnivore,Hiking the Gorge,Male,Filipino,CropCompass,Front End Developer,Frontend Development,Full-stack developer
"North Ridgeville, OH",SE,Bike,9/27/1984,1-2 years,2,"The Project(s), The Purpose",A creative outlet,All the time,Depends,C2ED98,Going out to eat for lunch... Jesus it's expensive.,Vegetarian,Doing whatever the kids want to do,Male,White,"Raise Effect, Hack University",Software Engineer,Frontend Development,Something that solves difficult problems and makes a positive impact on society.
"Bakersfield, California, USA",SE,Car,11/3/1981,11-15 years,1,The Process,Skill-building/Career Growth,Couple times a month,Classical,F51B96,Netflixing British murder mysteries,Gluten-Free,In the garden.,Female,Whitey,"FortyForty100, Hack University",Transfer Coordinator/Workflow manager for data analyst team,Facilitation,Playing with cats and kittens.
"Portland, Oregon, USA",NW,Car,4/7/1992,21-25 years,1,"The Project(s), The Purpose, The People","To be a more informed Citizen, Skill-building/Career Growth, Meet friends & collaborators",Couple times a year,Pop/Indie/Taylor Swift,0786F5,Twitter,Omnivore,"With family/friends, or alone with a book",Male,White,Behind the Curtain,Web Developer,"Frontend Development, Data Visualization",CTO of the United States
"Lincoln, NE",SE,Car,12/9/1981,> 1 year,1,"The Project(s), The Purpose, The Process","Skill-building/Career Growth, Meet friends & collaborators",Couple times a year,techno,EFF700,techno,Omnivore,techno,neither,caucasian/white,CropCompass,Web Developer,Data Visualization,
